id,label,adresse,city,dep,cp,type,x,y,localisation,appariement,score
0010197J,Ecole maternelle Charles Robin,2 Place du Maquis,Bourg-en-Bresse,1,1000,primaire,46.20652022766721,5.23559051973345,Numéro de rue,need_update,
3218,ESP PETITE ENFANCE DU BASTION,2 Rue C. Jarrin 1000 BOURG-EN-BRESSE,Bourg-en-Bresse,1,1000,crèche,46.2068370028807,5.2224872400028,,need_update,
3221,ESP PETITE ENFANCE DU PELOUX,19 Rue Comte de la Teyssonnière 1000 BOURG-EN-BRESSE,Bourg-en-Bresse,1,1000,crèche,46.1967919839246,5.2103602800028,,need_update,
3217,ESP PTITE ENFANCE L CARNOT,16 bis Rue L. Carnot 1000 BOURG-EN-BRESSE,Bourg-en-Bresse,1,1000,crèche,46.2003684354869,5.23048608000281,,need_update,
0010159T,Ecole élémentaire Le Planet,1 Rue Jules Ferry,Arbent,1,1100,primaire,46.29154810624446,5.6803298438158905,Numéro de rue,need_update,
0010143A,Ecole primaire,Ruelle du Puits Saint Martin,Apremont,1,1100,primaire,46.20715329626029,5.659770240456597,Ville,need_update,
0010158S,Ecole primaire,73 Bis r Geilles,Oyonnax,1,1100,primaire,46.236986280084615,5.669300416397288,Lieu-dit,need_update,
0010171F,Ecole primaire,Chemin du Moulin de Nerciat,Groissiat,1,1100,primaire,46.22702373250502,5.61575938586372,Rue,need_update,
3015,MULTI ACCUEIL OYONNAX,14 Bis Rue René Nicod 1100 OYONNAX,Oyonnax,1,1100,crèche,46.2689370134906,5.65280028000303,,need_update,
0010025X,Collège Paul Sixdenier,95 Rue DES ENFANTS DE L'ESPERANCE,Plateau d'Hauteville,1,1110,secondaire,45.976311,5.601032,Rue,need_update,0.8658241623651179
0010404J,Ecole primaire,le bourg,Champdor-Corcelles,1,1110,primaire,46.017634996671376,5.59714021239759,Ville,need_update,
0010278X,Ecole primaire,340 Rue Mairie,Thil,1,1120,primaire,45.8140570912784,5.019739958006473,Numéro de rue,need_update,
